"AccountID","AccountNumber","AccountName","AccountNameEnglish","ParentID"
BDB21B03-CB8B-4210-9AD9-690533C2E33D,"228",Đầu tư góp vốn vào đơn vị khác,Stocks,
"31FCFF1C-7678-4F08-A008-8503BCC6E14B","2281","Đầu tư vào công ty liên doanh, liên kết",Joint venture capital contribution,BDB21B03-CB8B-4210-9AD9-690533C2E33D
"234829C4-AB52-4891-A8F2-70B1EE15DC28","2288",Đầu tư khác,Other long term investments,BDB21B03-CB8B-4210-9AD9-690533C2E33D
B1E53A44-E53A-4A5F-98AC-93326B52DF31,"229",Dự phòng tổn thất tài sản,Provision for decline in long term investments,
"30081F70-E801-4EAC-86D0-75F8EE19BD88","2291",Dự phòng giảm giá chứng khoán kinh doanh,Provision for the diminution in value of short-term investments,B1E53A44-E53A-4A5F-98AC-93326B52DF31
"25E28E54-5713-4E2E-A66B-08F2369B1EC4","2292",Dự phòng tổn thất đầu tư vào đơn vị khác,Provision for decline in long term investments,B1E53A44-E53A-4A5F-98AC-93326B52DF31
BD769DFA-E891-4393-B2B0-B575D9560819,"2293",Dự phòng phải thu khó đòi,Provision for bad debts,B1E53A44-E53A-4A5F-98AC-93326B52DF31
"27F63295-1363-485A-A7AC-1B2696B282FF","2294",Dự phòng giảm giá hàng tồn kho,Provision for decline in inventory,B1E53A44-E53A-4A5F-98AC-93326B52DF31
C245C1C2-2E47-4520-A7CD-391FE4154D48,"241",Xây dựng cơ bản dở dang,Construction in process,
D1635A30-A98B-4C4B-AEC3-33B4724D7609,"2411",Mua sắm TSCĐ,Fixed assets purchases,C245C1C2-2E47-4520-A7CD-391FE4154D48
"0B39AE6B-7A14-43BF-A128-102B89E65B1D","2412",Xây dựng cơ bản,Construction in process,C245C1C2-2E47-4520-A7CD-391FE4154D48
C367DB14-1704-4B27-87DD-5597D6ABF1E6,"2413",Sửa chữa lớn TSCĐ,Major repair of fixed assets,C245C1C2-2E47-4520-A7CD-391FE4154D48
CC751812-81DB-418E-92AF-5419688655E1,"242",Chi phí trả trước,Long-term prepaid expenses,
A67C0896-F167-440E-AFDD-F741F1840822,"331",Phải trả cho người bán,Payable to seller,
B780F0DF-E640-4442-AF1C-BB3075A8C4C6,"333",Thuế và các khoản phải nộp Nhà nước,Taxes and payable to state budget,
"1E2B4566-0DC6-4458-A306-16D565D6C000","3331",Thuế giá trị gia tăng phải nộp,Value Added Tax,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
C26DEBB5-5D1C-4337-B7D9-A95A606D1855,"33311",Thuế GTGT đầu ra,VAT output,"1E2B4566-0DC6-4458-A306-16D565D6C000"
"196F06A7-555E-4712-AAA8-7CB2EF050422","33312",Thuế GTGT hàng nhập khẩu,VAT for imported goods,"1E2B4566-0DC6-4458-A306-16D565D6C000"
"4C15D3F0-3037-40CB-8520-4B2690D8DAD2","3332",Thuế tiêu thụ đặc biệt,Special consumption tax,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
D4243F37-17C4-4CF8-90EA-EFAFD3C44CB8,"3333","Thuế xuất, nhập khẩu",Import & export duties,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
"5300CFA7-7A13-4A97-8F92-82CF2DD95A5E","3334",Thuế thu nhập doanh nghiệp,Profit tax,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
"2B53EBB5-8F8E-4574-A682-BF6B9DCCB752","3335",Thuế thu nhập cá nhân,Personal income tax,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
C3A5942D-511E-4D0C-B586-06330BCE90EF,"3336",Thuế tài nguyên,Natural resource tax,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
"22C8546A-89B6-4B23-B4AB-E06A52EC7FFB","3337","Thuế nhà đất, tiền thuê đất","Land & housing tax, land rental charges",B780F0DF-E640-4442-AF1C-BB3075A8C4C6
BF4DA5D7-2231-49C8-BF09-910E11C97F61,"3338",Thuế bảo vệ môi trường và các loại thuế khác,Invironmental protection tax and other taxes,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
D27B09AA-54F4-4DE2-8277-4D3E4DA4B501,"33381",Thuế bảo vệ môi trường,Invironmental protection tax,BF4DA5D7-2231-49C8-BF09-910E11C97F61
"6F62E62F-367B-4F57-9966-48B83E84C8BA","33382",Các loại thuế khác,Other taxes,BF4DA5D7-2231-49C8-BF09-910E11C97F61
A9A4D641-9A9F-4E07-9A4F-19006A029CE9,"3339","Phí, lệ phí và các khoản phải nộp khác",Fee & charge & other payables,B780F0DF-E640-4442-AF1C-BB3075A8C4C6
B163B668-4CA0-4A28-A22A-A6009668FC17,"334",Phải trả người lao động,Payable to employees,
DA93CAC1-07B1-4033-8556-1BC8C1A93342,"335",Chi phí phải trả,Accruals,
"4BF43911-4148-4D75-BC18-5F7F8DC64408","336",Phải trả nội bộ,Internal payable,
"076DDF11-AFBE-4D22-A968-3B2F08D71EA1","3361",Phải trả nội bộ về vốn kinh doanh,Internal payable on capital,"4BF43911-4148-4D75-BC18-5F7F8DC64408"
"2A34073C-8C6E-45C5-8F31-F1632692AD3A","3368",Phải trả nội bộ khác,Other internal payable,"4BF43911-4148-4D75-BC18-5F7F8DC64408"
"9B5B718F-0598-46F3-9E2E-B36BC1CC034D","338","Phải trả, phải nộp khác",Other payable,
"231F313B-A7ED-4C01-9A6C-6EA429EAC1B0","3381",Tài sản thừa chờ giải quyết,Surplus assets awaiting for resolution,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
"771DDB31-CB2A-44D9-B75E-FAB2AEDBBE1F","3382",Kinh phí công đoàn,Trade Union fees,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
"35FFE133-0CF1-4220-8804-8F038B89D7F5","3383",Bảo hiểm xã hội,Social insurance,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
"3117C7BD-D9B8-420D-869C-CE35B28F8F0E","3384",Bảo hiểm y tế,Health insurance,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
E278D381-011E-4DE7-B463-BBF4E0B9C2F5,"3385",Bảo hiểm thất nghiệp,Unemployment insurance,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
"24CA8F9E-6D17-44D7-8028-5E2FD9F5EAC6","3386","Nhận ký quỹ, ký cược",Short-term deposits received,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
D569BB88-8082-4F9B-B5B0-983C115FD0A6,"3387",Doanh thu chưa thực hiện,Unrealized turnover,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
DA637C3A-9109-456B-9A37-BFFD2575795C,"3388","Phải trả, phải nộp khác",Other payable,"9B5B718F-0598-46F3-9E2E-B36BC1CC034D"
"3855365E-9BAD-4902-83BE-570C1DF72253","341",Vay và nợ thuê tài chính,Long-term borrowing and liabilities,
"0705A0A2-5DBB-4836-920A-56AB9DC26D8B","3411",Các khoản đi vay,Long-term borrowing,"3855365E-9BAD-4902-83BE-570C1DF72253"
"723D6D13-1702-4E0D-9424-A6BADFC5DB19","3412",Nợ thuê tài chính,Long-term liabilites,"3855365E-9BAD-4902-83BE-570C1DF72253"
A0EF31E9-5D25-4E06-ADBE-BB851BA158D7,"352",Dự phòng phải trả,Provisions for payables,
E1ABFA68-0D25-477E-ABC9-0CBB4C11D0AD,"3521",Dự phòng bảo hành sản phẩm hàng hóa,Product warranty provision,A0EF31E9-5D25-4E06-ADBE-BB851BA158D7
"09A872D6-EAF0-4309-AA96-91B4BD84A573","3522",Dự phòng bảo hành công trình xây dựng,Construction warranty provision,A0EF31E9-5D25-4E06-ADBE-BB851BA158D7
B41803B8-9096-4664-B72B-5E9E5BC02BFE,"3524",Dự phòng phải trả khác,Other payables provision,A0EF31E9-5D25-4E06-ADBE-BB851BA158D7
"839FF78E-97AF-401F-B8D0-8F5654BCF380","353","Quỹ khen thưởng, phúc lợi",Bonus & welfare funds,
E849189B-F5FD-4260-ABEC-909D8E51AE6A,"3531",Quỹ khen thưởng,Bonus fund,"839FF78E-97AF-401F-B8D0-8F5654BCF380"
C8D78AA0-8518-4888-8E36-FC116FCBE2CF,"3532",Quỹ phúc lợi,Welfare fund,"839FF78E-97AF-401F-B8D0-8F5654BCF380"
